################## FYI, April 2014 values
### Lats,Lons,PIOMAS SIT,PIOMAS Snow,CS2U SIT,CS2C SIT
72.331 131.906 1.118 0.065 0.711 0.075
75.893 152.008 1.185 0.027 0.732 0.075
78.770 75.548 1.524 0.072 0.986 0.076
76.357 78.136 1.225 0.058 0.875 0.076
72.068 302.196 1.503 0.100 1.083 0.076
78.360 69.121 1.806 0.099 0.948 0.076
82.435 64.573 2.353 0.079 1.274 0.077
70.308 57.127 1.007 0.058 0.692 0.077
72.692 301.729 1.296 0.083 0.904 0.077
75.958 79.408 1.222 0.056 0.970 0.078
72.110 292.537 1.434 0.059 0.773 0.078
76.446 72.165 1.484 0.079 0.836 0.078
70.530 63.583 1.046 0.072 0.715 0.079
70.864 198.861 1.656 0.057 1.202 0.079
75.644 129.289 1.449 0.062 0.740 0.079
73.722 286.434 1.507 0.060 0.996 0.079
73.166 64.290 1.262 0.068 1.326 0.080
71.079 199.081 1.914 0.067 1.260 0.080
60.838 183.784 0.823 0.032 0.776 0.080
72.225 299.970 1.393 0.079 0.953 0.080
77.628 45.735 0.962 0.054 0.758 0.081
72.354 297.708 1.438 0.082 1.101 0.081
69.917 295.560 1.350 0.025 1.149 0.081
71.632 61.082 1.206 0.069 1.081 0.081
77.108 116.342 1.362 0.045 0.778 0.082
73.946 250.805 2.091 0.056 1.042 0.082
78.192 112.913 1.594 0.049 0.787 0.082
78.069 111.501 1.603 0.047 0.879 0.083
62.273 177.896 nan nan 1.007 0.083
74.734 71.565 1.046 0.054 1.043 0.083
76.944 130.121 1.453 0.058 0.778 0.085
76.309 77.217 1.223 0.060 0.901 0.085
68.414 303.939 1.249 0.037 0.617 0.085
71.480 201.737 2.063 0.075 1.090 0.085
73.657 119.208 nan nan 0.601 0.085
68.767 293.438 nan nan 0.805 0.085
71.119 231.287 1.661 0.030 1.223 0.086
73.444 289.418 1.570 0.084 0.927 0.086
77.938 73.250 1.514 0.077 1.254 0.086
70.530 178.345 1.228 0.061 1.125 0.086
70.264 223.614 1.956 0.062 1.121 0.087
61.366 179.774 0.896 0.045 1.126 0.087
63.876 182.726 0.675 0.030 1.060 0.087
77.579 140.128 1.112 0.022 0.808 0.087
75.747 127.321 1.474 0.064 0.745 0.087
71.342 63.898 1.220 0.077 1.157 0.087
79.756 53.005 1.112 0.041 0.952 0.087
74.975 119.055 1.501 0.053 0.615 0.088
77.772 91.577 1.533 0.047 1.032 0.088
78.865 73.024 1.569 0.079 0.992 0.088
68.114 193.393 1.012 0.039 0.955 0.089
78.213 140.404 1.317 0.027 1.010 0.089
77.984 112.496 1.541 0.046 0.731 0.089
71.212 60.213 1.089 0.061 1.290 0.089
74.178 80.605 1.026 0.043 0.859 0.091
76.180 150.313 1.008 0.019 0.879 0.091
72.447 298.698 1.407 0.084 0.745 0.091
76.067 149.511 0.899 0.014 0.825 0.091
78.838 33.530 1.094 0.065 1.833 0.091
77.587 34.695 0.881 0.047 0.981 0.091
76.454 129.623 1.490 0.062 0.777 0.092
77.600 114.015 1.390 0.043 0.753 0.092
63.646 182.703 0.695 0.033 0.960 0.092
75.901 146.689 0.756 0.012 0.760 0.092
64.323 183.278 0.555 0.016 0.990 0.092
74.437 126.787 1.015 0.036 0.752 0.092
74.717 291.098 1.827 0.146 0.925 0.093
73.459 132.248 1.504 0.084 0.866 0.093
77.438 69.624 2.042 0.102 0.824 0.093
64.439 192.501 0.633 0.012 1.273 0.093
62.060 179.768 nan nan 0.936 0.093
77.649 110.739 1.398 0.039 0.903 0.094
74.003 285.890 1.472 0.059 0.856 0.095
78.526 56.155 1.286 0.068 1.250 0.095
75.378 282.863 1.388 0.048 1.233 0.095
62.809 186.445 0.578 0.009 0.981 0.095
78.513 71.211 1.680 0.089 0.830 0.095
74.694 81.989 0.656 0.026 0.785 0.095
69.180 299.476 1.427 0.032 0.813 0.095
71.682 188.826 1.771 0.089 1.072 0.095
69.443 222.337 1.025 0.038 0.943 0.096
75.514 79.735 1.248 0.057 0.927 0.096
74.470 82.104 0.820 0.032 0.779 0.096
63.390 183.652 0.599 0.018 0.933 0.096
77.938 47.261 0.952 0.051 1.007 0.097
79.163 50.877 1.074 0.042 1.067 0.097
74.178 152.526 1.876 0.059 1.154 0.098
74.063 285.113 1.459 0.053 0.944 0.098
80.112 38.558 1.327 0.080 1.132 0.098
76.023 147.458 0.755 0.009 0.851 0.098
77.710 27.734 0.747 0.031 0.876 0.099
77.689 30.069 0.821 0.032 1.178 0.099
73.441 73.040 nan nan 0.757 0.099
78.901 45.818 1.179 0.055 0.856 0.100
73.713 270.395 1.704 0.067 0.804 0.100
80.427 38.346 1.399 0.084 1.224 0.100
68.611 48.842 0.141 0.008 0.779 0.100
72.045 294.800 1.425 0.066 0.866 0.100
68.403 301.784 1.338 0.030 0.659 0.100
77.405 118.163 1.470 0.054 1.091 0.101
62.207 184.434 0.686 0.019 0.797 0.101
73.710 68.565 1.156 0.058 1.002 0.101
80.587 98.902 1.850 0.044 0.956 0.101
75.926 285.255 1.499 0.061 1.067 0.101
76.067 82.131 1.168 0.047 1.165 0.101
67.621 300.568 1.279 0.020 1.006 0.102
72.225 289.581 1.428 0.046 0.656 0.102
79.791 72.759 1.703 0.082 0.974 0.102
75.518 125.538 1.486 0.064 0.713 0.103
71.593 256.218 2.029 0.041 0.812 0.103
77.547 91.548 1.414 0.043 0.985 0.104
78.069 139.574 1.273 0.026 0.797 0.104
80.433 71.565 1.869 0.085 1.081 0.104
62.494 182.592 0.770 0.037 1.093 0.104
72.073 343.610 1.408 0.081 0.626 0.104
76.695 126.773 1.495 0.063 0.718 0.104
75.292 116.761 1.407 0.044 0.860 0.104
77.901 34.426 0.890 0.047 0.776 0.104
77.434 139.343 1.075 0.023 0.802 0.105
62.437 184.471 0.655 0.017 0.987 0.105
62.580 186.392 0.616 0.012 1.196 0.105
75.722 290.714 1.379 0.094 0.983 0.105
78.605 66.209 1.660 0.095 0.774 0.106
73.785 74.327 nan nan 0.964 0.106
78.712 34.479 1.097 0.068 1.072 0.106
79.751 103.276 1.660 0.046 1.124 0.106
76.023 122.542 1.580 0.067 0.916 0.107
78.213 64.654 1.627 0.092 0.798 0.107
70.670 58.808 0.937 0.051 0.595 0.107
69.483 54.828 0.537 0.021 0.670 0.108
71.127 302.838 1.505 0.084 0.902 0.108
77.901 145.574 1.388 0.029 0.995 0.108
75.648 55.192 0.727 0.022 0.920 0.108
74.369 294.171 1.515 0.143 0.917 0.109
67.143 302.515 1.197 0.024 0.718 0.109
74.918 81.870 0.668 0.027 0.911 0.109
79.722 108.435 1.914 0.058 1.116 0.109
76.829 125.991 1.488 0.063 0.776 0.110
78.434 73.673 1.502 0.075 1.024 0.110
75.833 122.053 1.591 0.066 0.868 0.110
72.899 78.247 nan nan 0.536 0.110
65.735 301.695 1.155 0.020 0.828 0.111
69.553 56.222 0.721 0.037 1.197 0.111
78.451 143.686 1.457 0.031 0.960 0.111
69.030 301.386 1.378 0.033 1.034 0.111
71.563 302.042 1.459 0.084 0.930 0.111
75.148 55.469 0.624 0.029 0.609 0.111
74.227 130.380 1.308 0.059 0.838 0.111
77.913 64.148 1.588 0.084 0.886 0.111
75.385 126.254 1.428 0.061 0.731 0.112
78.412 61.699 1.437 0.081 1.290 0.112
77.604 138.668 1.163 0.026 0.916 0.112
74.054 78.215 0.933 0.044 0.854 0.112
74.447 251.042 1.312 0.036 1.072 0.112
75.868 282.381 1.167 0.034 0.979 0.112
66.949 302.213 1.194 0.021 0.704 0.113
76.401 86.689 1.125 0.043 1.281 0.113
73.567 285.461 1.476 0.047 1.049 0.113
77.006 27.229 0.727 0.036 1.052 0.113
79.610 66.477 1.639 0.088 1.264 0.113
76.398 151.955 1.232 0.029 1.132 0.114
62.456 281.125 1.195 0.043 0.833 0.114
66.451 193.570 0.657 0.023 1.158 0.114
75.431 127.488 1.404 0.061 0.772 0.114
77.147 110.966 0.968 0.026 0.720 0.114
78.574 47.386 1.082 0.051 1.018 0.114
74.003 290.980 1.673 0.122 1.026 0.114
73.832 78.378 0.829 0.039 0.746 0.114
76.514 73.072 1.381 0.072 1.113 0.114
71.367 161.346 2.194 0.077 1.531 0.114
79.581 58.191 0.942 0.045 1.070 0.114
72.725 287.021 1.501 0.045 0.876 0.114
77.147 80.455 1.220 0.053 1.109 0.115
73.741 300.285 1.083 0.083 0.921 0.115
75.883 126.597 1.518 0.067 0.701 0.115
72.450 302.978 1.451 0.096 0.851 0.116
77.947 134.246 1.363 0.041 0.988 0.116
74.797 290.308 1.799 0.136 0.784 0.116
81.550 75.411 1.843 0.075 1.136 0.117
70.279 300.515 1.398 0.047 0.834 0.117
75.676 119.578 1.518 0.057 0.679 0.117
74.578 241.756 nan nan 0.732 0.117
78.961 57.440 1.338 0.068 0.922 0.118
70.562 304.150 1.842 0.104 0.835 0.118
79.182 79.854 1.576 0.065 1.364 0.118
80.624 75.466 1.852 0.081 1.015 0.118
76.331 125.647 1.526 0.066 0.896 0.118
75.765 284.146 1.456 0.057 1.072 0.119
72.441 287.507 1.490 0.040 1.080 0.119
76.611 85.675 1.160 0.045 1.095 0.119
70.591 59.720 0.713 0.040 0.834 0.120
78.317 63.189 1.515 0.086 0.905 0.120
60.591 184.196 0.822 0.027 0.807 0.120
78.901 44.182 1.178 0.060 1.661 0.120
80.507 78.425 1.823 0.073 1.122 0.120
63.185 182.657 0.730 0.036 1.066 0.120
70.238 301.971 1.355 0.047 1.154 0.120
77.784 43.512 0.920 0.051 0.846 0.121
72.482 131.359 1.076 0.062 0.975 0.121
74.780 114.864 1.038 0.028 0.706 0.121
61.355 181.585 0.854 0.038 0.823 0.121
71.433 298.583 1.408 0.062 0.952 0.122
73.499 291.150 1.596 0.103 0.861 0.123
76.983 42.905 0.840 0.051 0.888 0.123
76.570 83.766 1.175 0.047 1.141 0.123
71.690 68.003 nan nan 0.553 0.123
68.932 192.031 1.783 0.079 1.061 0.123
77.722 140.932 1.163 0.022 0.860 0.124
78.860 110.624 1.842 0.055 1.020 0.124
73.288 290.872 1.570 0.093 0.836 0.124
79.698 67.620 1.656 0.087 1.136 0.124
76.420 38.290 0.862 0.046 0.979 0.124
71.521 191.583 1.774 0.081 1.196 0.125
76.771 129.495 1.466 0.060 0.852 0.125
77.821 36.764 0.900 0.053 1.749 0.125
62.742 271.664 1.512 0.019 0.666 0.125
64.026 185.240 nan nan 0.907 0.125
62.055 178.840 nan nan 0.932 0.126
78.694 30.379 0.882 0.036 1.068 0.126
75.490 295.178 1.139 0.112 1.039 0.126
79.811 29.667 1.364 0.082 1.024 0.126
65.776 300.506 1.085 0.015 0.964 0.127
75.053 75.651 1.055 0.057 1.091 0.127
74.938 77.518 1.095 0.058 0.720 0.128
66.001 325.339 nan nan 0.930 0.128
76.875 127.360 1.476 0.062 0.803 0.128
62.059 180.696 0.937 0.074 1.064 0.128
73.769 114.969 nan nan 1.062 0.128
78.399 34.765 1.011 0.060 1.193 0.128
75.292 79.891 1.292 0.058 0.911 0.128
78.530 50.553 1.054 0.050 1.075 0.128
71.408 300.132 1.401 0.065 0.931 0.129
77.714 146.165 1.344 0.028 0.882 0.129
78.650 57.095 1.315 0.069 1.409 0.129
76.361 74.249 1.280 0.066 1.045 0.129
74.654 73.421 1.001 0.050 0.915 0.129
71.269 291.482 1.377 0.033 0.993 0.129
79.528 47.603 1.109 0.044 1.133 0.130
65.264 300.426 1.015 0.015 0.934 0.130
75.588 289.564 1.530 0.087 1.107 0.130
78.574 42.614 1.079 0.059 1.076 0.130
75.261 292.855 nan nan 0.963 0.131
73.139 132.299 1.566 0.092 0.905 0.131
78.897 54.866 1.236 0.059 1.056 0.131
78.421 46.569 1.051 0.052 0.837 0.133
79.080 58.431 1.332 0.069 1.026 0.133
71.203 177.600 2.091 0.098 1.386 0.133
70.202 66.203 1.158 0.086 0.903 0.134
77.859 111.114 1.489 0.043 0.878 0.134
79.196 67.426 1.588 0.088 1.057 0.134
74.578 298.244 1.053 0.103 0.924 0.134
76.832 135.000 1.328 0.045 0.886 0.134
76.702 80.776 1.204 0.051 0.974 0.134
71.858 176.091 2.187 0.100 1.473 0.134
70.431 302.320 1.397 0.057 0.945 0.135
67.458 302.339 1.239 0.025 0.908 0.135
70.109 61.260 0.663 0.040 0.706 0.136
72.873 287.959 1.485 0.053 0.989 0.136
72.093 189.758 1.767 0.085 1.212 0.136
77.073 120.793 1.450 0.057 1.507 0.136
68.910 301.908 1.361 0.033 0.908 0.137
66.756 301.917 1.200 0.020 1.008 0.137
72.852 65.618 1.223 0.067 0.948 0.137
76.092 151.574 1.124 0.024 1.126 0.137
63.715 192.662 0.756 0.020 0.806 0.137
76.589 145.911 0.910 0.014 0.938 0.137
62.094 186.751 0.682 0.018 1.013 0.138
79.480 38.946 1.220 0.075 1.300 0.138
62.648 274.980 1.472 0.028 0.522 0.138
78.770 58.055 1.356 0.071 1.061 0.138
71.724 203.569 1.774 0.062 1.318 0.139
69.575 300.097 1.410 0.038 0.857 0.139
77.547 141.582 1.114 0.021 0.976 0.139
78.779 68.305 1.650 0.092 1.053 0.139
77.262 39.999 0.855 0.051 1.062 0.139
70.622 237.325 1.269 0.032 1.392 0.139
72.852 294.382 1.492 0.093 0.865 0.140
76.638 74.914 1.273 0.064 1.194 0.140
75.584 73.258 1.205 0.066 0.963 0.141
77.838 32.957 0.872 0.041 1.221 0.141
78.874 40.914 1.108 0.064 1.056 0.142
75.375 131.889 1.469 0.061 0.976 0.142
74.401 279.530 nan nan 1.407 0.142
73.626 67.834 1.171 0.060 1.053 0.142
72.025 132.973 0.989 0.059 0.847 0.143
70.901 59.962 0.980 0.055 0.802 0.143
61.592 178.859 0.744 0.037 1.037 0.144
76.649 131.594 1.505 0.060 0.952 0.144
74.340 75.466 0.954 0.045 0.740 0.144
76.401 123.559 1.542 0.066 1.036 0.144
78.213 117.784 1.603 0.059 1.349 0.144
68.789 294.796 1.090 0.014 0.728 0.145
65.930 191.626 0.920 0.033 1.122 0.145
73.151 65.999 1.218 0.065 1.324 0.145
64.293 184.283 nan nan 1.007 0.145
77.896 113.477 1.504 0.047 0.835 0.145
74.874 155.908 1.994 0.061 0.748 0.145
66.798 300.677 1.267 0.017 0.823 0.145
76.261 120.964 1.526 0.062 0.986 0.147
75.694 152.430 1.281 0.032 1.069 0.147
72.810 301.092 1.276 0.082 1.002 0.147
78.278 75.033 1.430 0.069 1.247 0.147
76.596 128.884 1.481 0.062 0.785 0.148
77.438 110.376 1.312 0.034 0.805 0.149
79.394 35.538 1.285 0.084 1.114 0.149
71.250 302.260 1.474 0.079 0.879 0.149
77.938 137.260 1.275 0.031 0.960 0.150
62.286 181.169 0.983 0.074 0.928 0.150
75.563 149.647 nan nan 1.241 0.150
61.301 183.844 0.794 0.031 0.951 0.150
77.896 50.262 1.035 0.057 1.073 0.150
